"","X1","easting","northing","stream_order","elevation"
"44",135,6157248.5,2105975.1405,3,215.669998168945
"45",139,6158340.5,2105975.1405,6,137.360000610352
"46",145,6157251.5,2105972.1405,3,216.029998779297
"47",149,6158340.5,2105972.1405,6,137.389999389648
"48",154,6157251.5,2105969.1405,3,216.029998779297
"49",158,6158337.5,2105969.1405,6,137.559997558594
"50",165,6157254.5,2105966.1405,3,212.889999389648
"51",170,6158334.5,2105966.1405,6,137.509994506836
"52",177,6157254.5,2105963.1405,3,208.679992675781
"53",182,6158334.5,2105963.1405,6,137.509994506836
"54",189,6157257.5,2105960.1405,3,210.199996948242
"55",194,6158331.5,2105960.1405,6,137.559997558594
"56",202,6157257.5,2105957.1405,3,208.309997558594
"57",207,6158331.5,2105957.1405,6,137.600006103516
"58",214,6157260.5,2105954.1405,3,205.580001831055
"59",219,6158328.5,2105954.1405,6,137.600006103516
"60",226,6157260.5,2105951.1405,3,201.259994506836
"61",231,6158328.5,2105951.1405,6,137.610000610352
"62",239,6157263.5,2105948.1405,3,201.220001220703
"63",246,6158325.5,2105948.1405,6,137.580001831055
"64",255,6157266.5,2105945.1405,3,201.220001220703
"65",262,6158325.5,2105945.1405,6,137.580001831055
"66",273,6157269.5,2105942.1405,3,201.270004272461
"67",278,6158322.5,2105942.1405,6,137.809997558594
"68",290,6157272.5,2105939.1405,3,200.449996948242
